"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKTB  12/23","01/12/2023","GB00BP21NS45","Bills","N/A","04/12/2023","100.000000","N/A","N/A","N/A","N/A"
"UKTB  12/23","01/12/2023","GB00BP21PX38","Bills","N/A","11/12/2023","99.899004","N/A","5.271528","0.019159","N/A"
"UKTB  12/23","01/12/2023","GB00BP21T200","Bills","N/A","18/12/2023","99.797952","N/A","5.278339","0.038279","N/A"
"UKTB  12/23","01/12/2023","GB00BP21WN23","Bills","N/A","27/12/2023","99.668140","N/A","5.284013","0.062805","N/A"
"UKTB  01/24","01/12/2023","GB00BP21YP86","Bills","N/A","02/01/2024","99.593885","N/A","5.132286","0.079129","N/A"
"UKTB  01/24","01/12/2023","GB00BP221835","Bills","N/A","08/01/2024","99.507749","N/A","5.158874","0.095418","N/A"
"UKTB  01/24","01/12/2023","GB00BP225471","Bills","N/A","15/01/2024","99.407276","N/A","5.181768","0.114386","N/A"
"UKTB  01/24","01/12/2023","GB00BP227Q38","Bills","N/A","22/01/2024","99.307949","N/A","5.191000","0.133318","N/A"
"UKTB  01/24","01/12/2023","GB00BP22BH25","Bills","N/A","29/01/2024","99.205682","N/A","5.218706","0.152206","N/A"
"UKTB  02/24","01/12/2023","GB00BP22DJ88","Bills","N/A","05/02/2024","99.106956","N/A","5.220605","0.171061","N/A"
"UKTB  02/24","01/12/2023","GB00BP22GV14","Bills","N/A","12/02/2024","99.004095","N/A","5.245170","0.189871","N/A"
"UKTB  02/24","01/12/2023","GB00BP22LV66","Bills","N/A","19/02/2024","98.900026","N/A","5.272153","0.208638","N/A"
"UKTB  02/24","01/12/2023","GB00BP22PQ93","Bills","N/A","26/02/2024","98.796067","N/A","5.295125","0.227366","N/A"
"UKTB  03/24","01/12/2023","GB00BP22R525","Bills","N/A","04/03/2024","98.692217","N/A","5.315012","0.246055","N/A"
"UKTB  03/24","01/12/2023","GB00BP22SR16","Bills","N/A","11/03/2024","98.588476","N/A","5.332475","0.264703","N/A"
"UKTB  03/24","01/12/2023","GB00BP22X549","Bills","N/A","18/03/2024","98.484844","N/A","5.348000","0.283313","N/A"
"UKTB  03/24","01/12/2023","GB00BP22ZT23","Bills","N/A","25/03/2024","98.389231","N/A","5.335321","0.301907","N/A"
"UKTB  04/24","01/12/2023","GB00BP231Y24","Bills","N/A","02/04/2024","98.280072","N/A","5.323000","0.323113","N/A"
"UKTB  04/24","01/12/2023","GB00BP234P48","Bills","N/A","08/04/2024","98.194535","N/A","5.326280","0.338973","N/A"
"UKTB  04/24","01/12/2023","GB00BP237H78","Bills","N/A","15/04/2024","98.094837","N/A","5.330000","0.357441","N/A"
"UKTB  04/24","01/12/2023","GB00BP239S24","Bills","N/A","22/04/2024","97.998749","N/A","5.324097","0.375886","N/A"
"UKTB  04/24","01/12/2023","GB00BP23D572","Bills","N/A","29/04/2024","97.902754","N/A","5.319000","0.394293","N/A"
"UKTB  05/24","01/12/2023","GB00BP23G369","Bills","N/A","07/05/2024","97.792247","N/A","5.316272","0.415282","N/A"
"UKTB  05/24","01/12/2023","GB00BP23JV51","Bills","N/A","13/05/2024","97.709448","N/A","5.314599","0.430992","N/A"
"UKTB  05/24","01/12/2023","GB00BP23N688","Bills","N/A","20/05/2024","97.612237","N/A","5.314599","0.449284","N/A"
"UKTB  05/24","01/12/2023","GB00BP23QC55","Bills","N/A","28/05/2024","97.501375","N/A","5.314599","0.470144","N/A"
"UKTB  06/24","01/12/2023","GB00BP23SJ64","Bills","N/A","03/06/2024","97.418394","N/A","5.314599","0.485757","N/A"
"UKT 0.125 01/24","01/12/2023","GB00BMGR2791","Conventional","0.125","31/01/2024","99.226","99.268799","5.031634","0.157644","0.042799"
"UKT 1 04/24","01/12/2023","GB00BFWFPL34","Conventional","1.000","22/04/2024","98.476","98.593486","5.041462","0.376285","0.117486"
"UKT 2.75 09/24","01/12/2023","GB00BHBFH458","Conventional","2.750","07/09/2024","98.454","99.118835","4.819980","0.732953","0.664835"
"UKT 0.25 01/25","01/12/2023","GB00BLPK7110","Conventional","0.250","31/01/2025","95.038","95.123598","4.704111","1.129110","0.085598"
"UKT 5 03/25","01/12/2023","GB0030880693","Conventional","5.000","07/03/2025","100.370","101.578791","4.687764","1.194055","1.208791"
"UKT 0.625 06/25","01/12/2023","GB00BK5CVX03","Conventional","0.625","07/06/2025","94.439","94.433877","4.479296","1.470446","-0.005123"
"UKT 2 09/25","01/12/2023","GB00BTHH2R79","Conventional","2.000","07/09/2025","95.915","96.398516","4.439234","1.690395","0.483516"
"UKT 3.5 10/25","01/12/2023","GB00BPCJD880","Conventional","3.500","22/10/2025","98.169","98.580202","4.523623","1.790433","0.411202"
